,cafe,menu,URL
0,오늘은파스타,"파스타, 필라프",https://www.diningcode.com/profile.php?rid=6Grb73j0bZTF
1,대전통닭본점,"바베큐, 치킨",https://www.diningcode.com/profile.php?rid=1OFAr2HDXyFE
2,이비가짬뽕,"굴짬뽕, 짬뽕",https://www.diningcode.com/profile.php?rid=xrwFlLRplVuA
3,누오보나폴리,"화덕피자, 피자",https://www.diningcode.com/profile.php?rid=VABweKnoBpp1
4,천복순대국밥,"순대국밥, 국밥",https://www.diningcode.com/profile.php?rid=quBxwW9kdlC7
5,소신,"디저트카페, 카페",https://www.diningcode.com/profile.php?rid=niKPmjyzJ8ZE
6,동해원,"짬뽕, 짬뽕전문점",https://www.diningcode.com/profile.php?rid=18pRPTAsmS3f
7,정통집충남대점,돼지김치구이,https://www.diningcode.com/profile.php?rid=JtgtXrtcBYE4
8,유소춘의낙곱새,"낙곱새, 꼬막비빔밥",https://www.diningcode.com/profile.php?rid=S6tcgRQoEn5p
9,악어식탁,"함박스테이크, 크림파스타",https://www.diningcode.com/profile.php?rid=1cjaioepyKOq
