,cafe,menu,URL
0,오늘은파스타,"파스타, 필라프",https://www.diningcode.com/profile.php?rid=6Grb73j0bZTF
1,정통집충남대점,돼지김치구이,https://www.diningcode.com/profile.php?rid=JtgtXrtcBYE4
2,이비가짬뽕,"굴짬뽕, 짬뽕",https://www.diningcode.com/profile.php?rid=xrwFlLRplVuA
3,대전통닭본점,"바베큐, 치킨",https://www.diningcode.com/profile.php?rid=1OFAr2HDXyFE
4,누오보나폴리,"화덕피자, 피자",https://www.diningcode.com/profile.php?rid=VABweKnoBpp1
5,소신,"디저트카페, 카페",https://www.diningcode.com/profile.php?rid=niKPmjyzJ8ZE
6,천복순대국밥,"순대국밥, 국밥",https://www.diningcode.com/profile.php?rid=quBxwW9kdlC7
7,유소춘의낙곱새,"낙곱새, 꼬막비빔밥",https://www.diningcode.com/profile.php?rid=S6tcgRQoEn5p
8,동해원,"짬뽕, 짬뽕전문점",https://www.diningcode.com/profile.php?rid=18pRPTAsmS3f
9,맛존,"닭불고기, 닭갈비",https://www.diningcode.com/profile.php?rid=5272mgPyrdh6
