cafe,menu,addr,tel
오늘은파스타,"파스타, 필라프",대전광역시 유성구 궁동 412-14,042-826-0198
대전통닭본점,"바베큐, 치킨",대전광역시 유성구 궁동 471-11,042-825-2292
이비가짬뽕,"굴짬뽕, 짬뽕",대전시 유성구 궁동 462-12,042-823-7484
누오보나폴리,"화덕피자, 피자",대전시 유성구 궁동 406-10 3층,042-322-9582
천복순대국밥,"순대국밥, 국밥",대전광역시 유성구 궁동 471-8,042-822-1096
소신,"디저트카페, 카페",대전광역시 유성구 궁동 429-5,010-8558-9746
동해원,"짬뽕, 짬뽕전문점",대전시 유성구 궁동 414-5,042-823-3495
정통집충남대점,돼지김치구이,대전광역시 유성구 궁동 410-8,042-823-9289
유소춘의낙곱새,"낙곱새, 꼬막비빔밥",대전광역시 유성구 궁동 411-9,042-823-9933
악어식탁,"함박스테이크, 크림파스타",대전광역시 유성구 궁동 397-9,042-825-5201
