,star_score,reple,date
0,10,우리네 삶을 되돌아보면.. 역경과 고난에 순응하는 삶을 거부하고 새로운 역사에.. 비평에.. 비난에도 굴하지않고 도전하는 이의 삶은 위대하고 경이롭다는 단어 밖에 떠오르지않네요. 도전정신이란 무엇일까요? 에어로너츠가...,2020.06.10 17:30
1,10,보는것만으로도 고소공포를 느낄수 있어요! 감동적이고 재밌어요 강추,2020.06.10 15:10
2,8,그래비티와 라이프 오브 파이가 떠오르는 영화이면서 과학적 태도가 어떻게 진보해왔는지 엿볼수 있었던 작품이다.,2020.06.10 13:36
3,10,그냥 봤다 인생영화 되는 영화.. 스릴 넘치는데 감동까지. 쵝오,2020.06.10 16:31
4,10,남주의 신념과 여주의 용기가 세상을 바꿨다,2020.06.10 22:05
5,10,"영상미도, 배우 연기도, 연출도, 하물며 사운드까지 모두 정말 좋았어요. 그래비티 생각이 난다 헀더니 그래비티 제작진이 참여했나봐요. 영화관에서 안 보면 아쉬울 거 같은 영화예요! 한 두 번은 더 볼 것 같아요.",2020.06.10 19:59
6,10,"한때 과학자를 꿈꿨고 지금도 과학자를 꿈꾸는 대학교 6학년학생입니다. 옆에 저렇게 든든한 조력자가 있다면,  저런 용기가 있다면, 결국 위대한 발견을 할 수 있을것 같네요. 어느정도 연출은 있겠지만 실화바탕이라는 것...",2020.06.10 21:48
7,9,풍선에 달린 가능성과 도전 그리고 경이로움,2020.06.10 22:41
8,7,"한계에 다다를수록 더 광활해지는 고공모험극, 위를 올려다보라!",2020.06.10 21:59
9,10,영화관에서 공중에 떠 있는 느낌을 받을 줄이야... 환상적이다,2020.06.10 20:44
10,10,일단 반려동물 좋아하시는 분들 살짝 눈감을 부분있어요 ㅋ 여름에 이렇게 시원한 영화는!!! 과학 유튜버들이 빨리 소개좀 많이 해줬음 좋겠어요,2020.06.10 20:33
11,10,하늘 너무 멋있어....넋놓고 봄...,2020.06.10 20:28
12,10,무조건 큰 스크린에서 봐야만 제대로 즐길 수 있는 영화,2020.06.10 19:59
13,7,닮은 듯하면서도 개성있는 두 연기파 배우 에디 레드메인과 펠리시티 존스. 두 배우의 등장으로 기대 충만. '하늘을 걷는 남자'를 기대했으나 연기는 좋고 영화는 쏘쏘.,2020.06.10 19:22
14,10,열이없는 열기구는 옥의티. 열기구 탄것 처럼 하늘속 구경한 느낌. 스릴과 감동 다 있음.,2020.06.10 18:41
15,10,진짜 언제나 항상 하늘보다 우주의신비를 배경으로 하는 영화를 봐왔지만 이 영화는 진짜 아름다운 배경에 신비로운 저 하늘 높이에 배경 진짜 좋았네요  저 눞은 하늘이 아름답다지만 전 하늘과 별 그리고 우주의신비 입니다...,2020.06.10 17:53
16,10,간만에 보는 블록버스터(?) 영화. 에디랑 펠리 조합 너무 좋음ㅎㅎ 오랜만에 시간 잘간듯해요,2020.06.10 16:29
17,10,누구나 어릴 때 해볼 법한 하늘을 나는 상상을 실현시켜주는 영화. CG가 너무 환상적이다,2020.06.10 14:28
18,10,오랜만에 영화를 웅장한 사운드와 큰 스크린으로 보니 황홀하기 그지없었다 평화의 소중함을 깨달음과 동시에 마지막 ‘You don’t change the world simply by looking at it. You c...,2020.06.10 18:20
19,10,너의 용기와 나의 신념이 만나,2020.06.10 16:55
20,10,극장에서 보길 잘했다!! 진짜 재밌고 큰 스크린에서 보니까 나도 같이 열기구 타는 느낌이다!!,2020.06.11 10:56
21,5,조금 지루할수도 있을듯 ...배우들 연기는 볼만했던..~,2020.06.11 10:54
22,9,일단 너무 아름답고.. 멋지고.. 재밌음... 요즘 영화가 많아서 고민이 많았는데 탁월한 선택이었다고 생각ㅜㅜ,2020.06.11 10:45
23,10,손에 땀이 났어요.  또 보고싶네요,2020.06.11 09:09
24,10,과학을 바탕으로한 고증이 잘된 깔끔한 드라마,2020.06.11 05:11
25,10,광활한 아름다움이 아직도 눈에 비추는듯한 영상은 가히 으뜸이라고 할수 있다,2020.06.11 02:26
26,8,하늘을 드높이 날아가는 두 남녀의 도전,2020.06.11 01:39
27,10,영상도 좋고 너무 좋은영화였습니다^^,2020.06.11 01:32
28,10,완전 재밌다 아주 재밌다 기모띠 하게 재밌다,2020.06.11 00:52
29,10,"연출, OST, 연기 뭐하나 빠지는 것이 없는 수작.",2020.06.10 23:59
30,10,꿈을  포기하지  않는  사람은  아름답다,2020.06.10 22:42
31,10,그냥 또 보고 싶고 아니 소장하고 싶고 아니 그냥 인생영화다 그녀가 오르고 올랐던 그 장면 내심장이 왜 뜨거워 지던지ㅋㅋㄱ요즘 얼어버린 내 인생을 그냥 녹이다못해 후끈 달아오르게 했네 ㅋㅋㅋ인간은 상황이 문제가 아니...,2020.06.10 22:32
32,10,,2020.06.10 18:08
33,6,몸빵으로 일군 기상학 항공학 천문학의 초석,2020.06.10 15:28
34,7,감독이 전하고자 하는 메세지는 분명했지만 그에 아쉬운 연출력. 관객들을 2시간동안 몰입시키기에는 부족했다.,2020.06.11 00:02
35,1,큰사운드의 자장가 잘보고갑니다,2020.06.10 19:55
36,5,어설프기만한 롯데월드 풍선비행,2020.06.10 19:31
