,star_score,reple,date
0,10,좀비가 무서운게아니라 사람이무섭다는걸 알려주는영화,2016-07-20 05:57:00
1,10,그냥 한국형 좀비물이 어색하지 않았다는 거에 큰 점수를 주며 앞으로의 한국영화를 기대해봅니다.,2016-07-20 11:56:00
2,10,버스회사 상무라는 사람이 진심 역대급 민폐캐릭터인듯개짜증나고 생존력도 좋음,2016-07-20 00:00:00
3,10,생각보다 너무 재밌었다,2016-07-20 01:11:00
4,6,영화가 너무 비현실적이네요. 예를들어 공유 얼굴이라던가 공유 얼굴 같은 부분이...,2016-07-20 07:30:00
5,10,마동석 진짜 웃겨요 사랑해요,2016-07-20 16:29:00
6,8,배급사는 스포일러 법적대응 해야할듯,2016-07-20 00:45:00
7,9,한국에서 볼 수 없었던 영화,2016-07-20 00:21:00
8,5,심은경 열연 감동했어요.,2016-07-20 13:28:00
9,6,"그냥 스릴러로 즐기기에 나쁘진 않다, 다만 초반에 어떻게 좀비가 생겼고 현재 전국상황이 어떤지 거의 나오지 않았고, 마지막에 뜬금없는 회상씬은 오그라들게 만들고, 부산에 가서 그냥 끝나버리고 다른 지역의 상황과 앞으로의 계획은 안나와서 허무하다. ",2016-07-20 10:38:00
10,7,이 영화의 깨알 코미디신은 소희의발연기....관객들이 몰입해서 보다가 하나가되어 웃었다...,2016-07-20 06:29:00
11,10,재밌네요!추천!전 지루하지않고 재밌게 봣습니다,2016-07-20 00:40:00
12,7,고속버스 사장 아재도 발암이지만 난 꼬맹이가 더 발암이었다.. 고구마 392838493327382박스 먹은 기분,2016-07-20 09:10:00
13,8,처음 좀비나왔을때는 유치할꺼라 생각했는데 보는내내 재밌고 시간가는줄 몰랐어요,2016-07-20 07:05:00
14,8,재난영화에서 언제까지 여성은 연약하고 수동적이어야만 하나,2016-07-20 18:46:00
15,6,과도한 변칙 개봉 (유료 시사회) 때문에 스포일러가 좀비처럼 퍼졌다.,2016-07-20 00:06:00
16,5,영화에 온전히 몰입하기엔 생각보다 연기력이 아쉬운 몇몇사람들..,2016-07-20 12:33:00
17,8,좀비물인데 15세라 별거없겠지 하고 보러갔는데나름 위압감있는 좀비의 공세에  놀랐습니다.물론 장기파티도 안나오고 다소 진부한 전개와 한국전통의 가족애는 여전하지만 잘 뽑힌 좀비영화내요.그나저나 꼰대 한놈 때문에 몇명 죽는지 새보신분? ,2016-07-20 12:08:00
18,1,안소희 뭐냐 ㅡㅡ 영화에는 영화배우를 써라 좀,2016-07-20 07:46:00
19,1,소희...연기하지망,2016-07-20 08:46:00
20,6,초반엔 고속질주 후반엔 급브레이크,2016-07-20 05:36:00
21,1,시나리오를 진짜 정말 하 어떻게 이렇게 쓰지 공유 마지막에 분유 광고 찍는줄,2016-07-20 22:47:00
22,1,이영화 최악의 빌런은 할머니다,2016-07-20 06:37:00
23,1,시사회 때 본 네티즌들은 어느정도 공감할 것이다 여자 꼬마 아이의 쓸데없는 오지랖이 영화의 전체적인 스토리와 흥미를 다 말아 먹었다는 것을,2016-07-20 08:03:00
24,1,소희야 우리 다시 노래하자. 노래도 못하지만 그못하는게 더 매력적이다,2016-07-20 11:58:00
25,8,이런류 영화 좋아요 아주아주,2016-07-20 00:55:00
26,4,감독님 찍다가 중반에 좀비되신건가요 왜 중반까지는 재밌었는데 당황스러운 스토리와 신파로 영화를 다 망치셨는지...,2016-07-20 07:16:00
27,10,다른사람들은 재미없다는데 난너무재밌음ㅋㅋ또보고싶다ㅋ,2016-07-20 16:58:00
28,1,기차 갈아탈때  밑으로 넘어갔으면 다살았다 글고 임산부 아주머님 달리기 육상선수 수준,2016-07-20 22:16:00
29,1,진짜 깔게 너무 많아서..일단 OST..머냐?스토리 뚝뚝.내용과도 전혀 어울리지 않는.15세라 좀비를 맨주먹으로 때려부수고 유리창하나면 방어끝?왜 바이러스가 퍼졋는지?부산까지 가는 2시간동안 전국이 어떻게 감염됨?소희는 논외.수십가지만 글자제한.노답. ,2016-07-20 08:25:00
30,9,영화 보는 내내 긴장의 끈을 놓을 수가 없었고.. 마지막엔 슬퍼서 눈물 쪼꼼 났어요..ㅜ,2016-07-20 13:17:00
31,1,쌍팔년도 스타일...한번넘어지면 바로안일어나고 3초씩밍기적대고 인도영화랑 비슷함..초딩은 애늙이멘트치고 어른들 훈계함 대사가 대체로 아침드라마 같은 진부한 멘트..배경음악도 80년대음악같음. 결말도 억지감동..이거잼잇는분들 클레멘타인 꼭보셈 ,2016-07-20 12:32:00
32,6,아역배우랑 소희의 연기력이 아쉽네요.결말도 허무하구요.,2016-07-20 11:42:00
33,1,후반부에 부자연스러움 그자체,2016-07-20 06:09:00
34,6,Kt 여승무원을  소희역 시키지  훨 이쁘고 연기도 잘하든데 난친구가 못가서 대신보고온건데..이영화 배우들 한테 연기상 줄려거든좀비들 한테 주길,2016-07-20 11:24:00
35,2,아 존나 신선했는데 짜증나고 답답한 느낌이 가실질 않는다 이걸노렸나?,2016-07-20 10:34:00
36,5,기대없이 봐서 재밌게 봤어요 영화내용이 이런 사건이 생긴 이유나 해결방법 등 전혀 없이 그냥 계속 쫓기고 죽다가 끝나서 조금 허무하긴 하지만 스릴넘치네요,2016-07-20 11:55:00
37,1,마지막 아이의 노래를 듣는순간 짜증나서 내가 좀비로 변할것 같았다,2016-07-20 21:43:00
38,9,원래 sf나 좀비 같은 실제하지않는 허구의 영화를 좋아해서 별점은 높다. 실제로 영화도 재밌다. 그러나 아쉬운건 영화 초반 감염경로나 마지막 결말부분이 너무 부족한게아닌가...,2016-07-20 15:24:00
39,1,이성적인 판단이 가능한 사람은 내 별점 공감할것이다,2016-07-20 11:37:00
40,1,꼭 조연들은 물리면 일초만에 좀비되고 주요인물들은 하루 죙일 감정잡다 적당한 타이밍에 변하냐? 그 외에도 좀비들이 달리는 기차에 뭉텅이로 매달리질 않나 갑자기 불타서 선로막는 기차에 코미디 수준 ㅋㅋ,2016-07-22 00:33:00
41,5,솔직히 코믹이였다(코믹이 맞다면 7점) 마동석캐리여서 5점 특히 문제점 소희(응원단)우식이랑(야구부)통화하는 장면 심각해야되는 장면인데 관객들이 다 웃었다 분명 슬픈장면인데 그럴의도로 찍은 장면이 아닐텐데 킬링타임으로 보는걸추천 ,2016-07-20 02:00:00
42,2,이건 마동석이 주인공이다,2016-07-21 06:52:00
43,8,그놈의 스포일러만 안떴어도..,2016-07-20 00:15:00
44,1,제발 할머니역은 진짜 할머니 좀 써라.관객들 우롱하는것도 아니고 어색한할머니 분장으로 진짜 욕나올뻔했고 아역배우 극암유발 연기와 소희 로보트연기에 진짜 자리에 앉아있기도 싫더라.,2016-07-22 04:42:00
45,1,마동석 없었으면 망했을 영화다..그리고 아역 남자인지 여자인지 애매한 캐릭터 써서 영화내내 집중 안되더라..왜 남자같이 생긴 여자애를 썼는지 원..소희는 연기가 참 어색해서 손발이 오글오글..,2016-07-20 05:51:00
46,1,이게 월드워z보다 평론가평점이 높네?,2016-07-20 10:40:00
47,6,소희 연기에 깜짝놀랐고 공유 울음에 칸을 의심했다 억지 감동을 주려하고 사람들의 감정 묘사도 그렇게 잘 된 것 같지않음 ...마동석이 주연인줄,2016-07-20 10:44:00
48,1,기대하고봤는데 재미하나도 없어요 아역배우랑 안소희씨 너무 안어울리고 영화에 너무 뜬금없는 감성팔이가 많아요,2016-07-20 09:46:00
49,1,"할머니 분장 어설퍼ㅡㅡ 아역,  소희 연기력에 이게 영화인지 예능인지...이 영화에 마동석, 정유미가 아깝다",2016-07-21 17:52:00
